iter	Passed	Remaining
0	111	111188
1	210	104904
2	321	106750
3	378	94185
4	431	85934
5	522	86584
6	615	87342
7	676	83830
8	730	80435
9	815	80723
10	918	82598
11	1011	83310
12	1058	80362
13	1153	81204
14	1236	81179
15	1290	79355
16	1378	79703
17	1415	77199
18	1501	77511
19	1547	75820
20	1622	75660
21	1662	73901
22	1703	72342
23	1738	70685
24	1841	71800
25	1934	72463
26	2043	73633
27	2135	74142
28	2255	75530
29	2301	74423
30	2425	75808
31	2547	77055
32	2613	76575
33	2733	77674
34	2848	78545
35	2949	78978
36	3061	79683
37	3167	80199
38	3285	80958
39	3400	81603
40	3501	81895
41	3618	82526
42	3726	82929
43	3860	83879
44	4002	84936
45	4140	85866
46	4247	86128
47	4359	86464
48	4437	86116
49	4487	85271
50	4613	85848
51	4741	86433
52	4875	87111
53	5012	87816
54	5130	88148
55	5215	87914
56	5319	88000
57	5384	87458
58	5487	87519
59	5570	87269
60	5668	87263
61	5814	87966
62	5884	87520
63	5991	87624
64	6109	87881
65	6201	87760
66	6318	87990
67	6424	88046
68	6536	88191
69	6643	88268
70	6720	87940
71	6801	87658
72	6937	88097
73	7047	88192
74	7187	88640
75	7325	89058
76	7451	89324
77	7581	89615
78	7717	89975
79	7827	90013
80	7943	90119
81	8070	90350
82	8185	90431
83	8306	90585
84	8408	90515
85	8501	90348
86	8616	90421
87	8703	90204
88	8833	90423
89	8922	90220
90	9047	90373
91	9180	90604
92	9270	90414
93	9324	89874
94	9460	90124
95	9590	90308
96	9718	90472
97	9830	90477
98	9973	90767
99	10111	91007
100	10272	91432
101	10393	91500
102	10499	91436
103	10633	91612
104	10781	91899
105	10938	92254
106	11078	92461
107	11200	92507
108	11320	92535
109	11459	92720
110	11575	92710
111	11714	92878
112	11823	92809
113	11941	92812
114	12068	92872
115	12212	93065
116	12347	93184
117	12447	93042
118	12573	93083
119	12722	93295
120	12842	93294
121	12975	93378
122	13094	93366
123	13207	93303
124	13293	93051
125	13422	93104
126	13537	93056
127	13667	93108
128	13777	93024
129	13913	93115
130	14020	93005
131	14127	92896
132	14240	92832
133	14367	92853
134	14500	92913
135	14614	92844
136	14741	92862
137	14869	92881
138	14980	92792
139	15097	92739
140	15221	92735
141	15354	92776
142	15451	92600
143	15566	92532
144	15685	92490
145	15810	92481
146	15929	92436
147	16051	92403
148	16162	92309
149	16289	92307
150	16418	92313
151	16542	92288
152	16664	92252
153	16772	92140
154	16922	92255
155	17011	92038
156	17133	91998
157	17275	92063
158	17410	92087
159	17542	92100
160	17643	91943
161	17783	91993
162	17889	91864
163	18027	91896
164	18146	91832
165	18290	91893
166	18396	91760
167	18512	91682
168	18649	91703
169	18761	91599
170	18942	91830
171	19056	91736
172	19295	92241
173	19461	92387
174	19683	92791
175	19904	93190
176	20100	93460
177	20353	93992
178	20467	93876
179	20621	93940
180	20797	94107
181	20971	94255
182	21108	94236
183	21243	94208
184	21348	94047
185	21494	94065
186	21644	94102
187	21783	94087
188	21902	93984
189	22027	93907
190	22129	93731
191	22220	93509
192	22340	93411
193	22470	93357
194	22598	93289
195	22717	93188
196	22856	93167
197	23028	93276
198	23205	93406
199	23361	93444
200	23474	93312
201	23599	93229
202	23734	93184
203	23880	93182
204	24038	93222
205	24182	93208
206	24291	93057
207	24431	93028
208	24558	92947
209	24717	92986
210	24896	93097
211	25040	93074
212	25167	92988
213	25315	92981
214	25464	92973
215	25589	92880
216	25740	92880
217	25901	92913
218	26011	92762
219	26135	92660
220	26296	92693
221	26439	92656
222	26605	92703
223	26731	92604
224	26846	92470
225	26980	92401
226	27091	92255
227	27289	92402
228	27454	92432
229	27612	92442
230	27756	92402
231	27916	92413
232	28083	92445
233	28263	92520
234	28413	92493
235	28555	92441
236	28697	92387
237	28837	92328
238	29000	92340
239	29145	92293
240	29305	92294
241	29447	92236
242	29571	92122
243	29673	91940
244	29823	91905
245	29962	91834
246	30103	91771
247	30201	91579
248	30262	91273
249	30423	91271
250	30517	91066
251	30654	90991
252	30806	90959
253	30927	90832
254	31027	90649
255	31120	90444
256	31244	90328
257	31371	90222
258	31511	90154
259	31621	89999
260	31762	89932
261	31831	89663
262	31987	89639
263	32148	89627
264	32340	89699
265	32458	89566
266	32600	89497
267	32712	89349
268	32884	89363
269	33017	89268
270	33153	89183
271	33305	89139
272	33446	89068
273	33620	89083
274	33757	88996
275	33929	89002
276	34055	88889
277	34250	88951
278	34431	88978
279	34657	89119
280	34941	89406
281	35191	89602
282	35465	89855
283	35784	90218
284	36131	90645
285	36498	91118
286	36787	91391
287	37080	91671
288	37479	92207
289	37766	92463
290	37945	92450
291	38140	92478
292	38280	92369
293	38433	92291
294	38603	92254
295	38741	92142
296	38894	92063
297	39100	92108
298	39252	92026
299	39431	92007
300	39533	91806
301	39731	91828
302	39871	91716
303	40036	91662
304	40261	91743
305	40423	91680
306	40553	91542
307	40672	91381
308	40849	91349
309	40997	91252
310	41155	91178
311	41318	91113
312	41547	91192
313	41774	91265
314	41967	91263
315	42100	91128
316	42227	90982
317	42404	90943
318	42584	90909
319	42778	90903
320	42923	90794
321	43071	90690
322	43218	90584
323	43386	90521
324	43566	90483
325	43765	90484
326	43954	90463
327	44113	90379
328	44227	90203
329	44405	90156
330	44551	90044
331	44643	89824
332	44799	89733
333	44951	89634
334	45006	89341
335	45154	89234
336	45266	89056
337	45412	88943
338	45538	88792
339	45683	88679
340	45853	88613
341	45995	88494
342	46118	88337
343	46260	88217
344	46414	88119
345	46538	87966
346	46647	87782
347	46824	87729
348	46978	87631
349	47131	87529
350	47246	87358
351	47389	87240
352	47504	87069
353	47654	86963
354	47823	86891
355	47968	86774
356	48153	86730
357	48308	86630
358	48465	86536
359	48598	86397
360	48757	86305
361	48909	86200
362	49046	86067
363	49170	85913
364	49380	85909
365	49654	86012
366	49905	86077
367	50246	86292
368	50596	86521
369	50865	86608
370	51052	86554
371	51232	86489
372	51400	86402
373	51593	86357
374	51818	86363
375	51972	86252
376	52140	86163
377	52272	86014
378	52404	85866
379	52537	85718
380	52722	85656
381	52872	85536
382	53028	85427
383	53191	85328
384	53370	85254
385	53510	85117
386	53676	85023
387	53804	84866
388	53965	84762
389	54117	84645
390	54268	84525
391	54424	84413
392	54567	84280
393	54667	84082
394	54833	83986
395	54990	83873
396	55146	83760
397	55291	83632
398	55393	83437
399	55546	83320
400	55680	83173
401	55830	83051
402	55965	82907
403	56119	82790
404	56266	82663
405	56427	82556
406	56539	82377
407	56671	82229
408	56827	82115
409	56942	81940
410	57064	81778
411	57198	81633
412	57347	81508
413	57493	81379
414	57609	81208
415	57753	81076
416	57912	80966
417	58072	80856
418	58209	80715
419	58378	80617
420	58517	80479
421	58634	80309
422	58779	80178
423	58912	80032
424	59097	79955
425	59267	79858
426	59440	79764
427	59616	79674
428	59755	79535
429	59910	79416
430	60040	79264
431	60175	79119
432	60324	78992
433	60443	78827
434	60540	78632
435	60656	78464
436	60801	78331
437	60898	78139
438	61051	78017
439	61165	77846
440	61305	77709
441	61448	77575
442	61617	77473
443	61685	77246
444	61816	77097
445	61942	76942
446	62091	76815
447	62255	76707
448	62380	76551
449	62525	76420
450	62674	76292
451	62809	76148
452	62969	76035
453	63107	75895
454	63228	75735
455	63344	75568
456	63477	75422
457	63618	75286
458	63785	75181
459	63927	75045
460	64060	74899
461	64233	74800
462	64526	74839
463	64833	74894
464	65128	74933
465	65377	74917
466	65614	74888
467	65793	74791
468	65966	74686
469	66130	74572
470	66269	74430
471	66419	74299
472	66581	74182
473	66776	74102
474	66950	73997
475	67143	73914
476	67317	73809
477	67475	73686
478	67613	73542
479	67769	73416
480	67935	73302
481	68089	73175
482	68295	73103
483	68470	72997
484	68606	72850
485	68751	72713
486	68914	72593
487	69081	72478
488	69230	72345
489	69369	72200
490	69519	72067
491	69621	71885
492	69772	71753
493	69904	71602
494	70040	71455
495	70195	71327
496	70337	71187
497	70456	71022
498	70591	70874
499	70750	70750
